start_station_name,trip_count,lat,lng
Racine Ave & Fullerton Ave,284,41.925566,-87.658416
Millennium Park,280,41.8810317,-87.62408432
Aberdeen St & Randolph St,278,41.884114,-87.654264
Clark St & Chicago Ave,278,41.89675,-87.63089
Sangamon St & Lake St,278,41.88577925240433,-87.65102460980414
Clark St & Lincoln Ave,277,41.915689,-87.6346
Woodlawn Ave & 55th St,277,41.795264,-87.596471
Clark St & Winnemac Ave,275,41.97334764047304,-87.6678554713726
Sheffield Ave & Kingsbury St,272,41.910522,-87.653106
Fairbanks St & Superior St,272,41.895748,-87.620104
Burling St & Diversey Pkwy,271,41.93314,-87.64776
May St & Taylor St,271,41.8696317,-87.6542494
Michigan Ave & 14th St,268,41.864059,-87.623727
Lincoln Ave & Melrose St,267,41.9406,-87.669435
Aberdeen St & Monroe St,267,41.880419,-87.655519
Stetson Ave & South Water St,267,41.886835,-87.62232
MLK Jr Dr & 29th St,266,41.842052,-87.617
Financial Pl & Ida B Wells Dr,257,41.8750236280333,-87.6330940425396
Clark St & Ida B Wells Dr,257,41.8759326655,-87.6305845355
LaSalle Dr & Huron St,256,41.894877,-87.632326
Sheffield Ave & Webster Ave,255,41.92154,-87.653818
Larrabee St & Webster Ave,255,41.921822,-87.64414
Damen Ave & Pierce Ave,254,41.9088152,-87.6771937
Ada St & Washington Blvd,254,41.88283,-87.661206
Broadway & Belmont Ave,253,41.940106,-87.645451
Clifton Ave & Armitage Ave,249,41.918216,-87.656936
Wood St & Milwaukee Ave,249,41.907655,-87.672552
Halsted St & Dickens Ave,248,41.919936,-87.64883
Sedgwick St & North Ave,248,41.910983,-87.638525
Field Blvd & South Water St,247,41.88634906269,-87.6175165471
Clinton St & Tilden St,242,41.875885,-87.640795
Pine Grove Ave & Irving Park Rd,241,41.954383,-87.648043
Shedd Aquarium,241,41.86722595682,-87.6153553902
Southport Ave & Wellington Ave,240,41.93577461766458,-87.66360014677048
Ogden Ave & Chicago Ave,239,41.896362458,-87.6540612729
Sheffield Ave & Wellington Ave,238,41.9362534831413,-87.65266209840775
Lake Park Ave & 56th St,238,41.793242,-87.587782
Stockton Dr & Wrightwood Ave,237,41.93132,-87.638742
Clark St & Drummond Pl,237,41.931248,-87.644336
Ogden Ave & Race Ave,236,41.891795,-87.658751
DuSable Lake Shore Dr & Monroe St,235,41.880958,-87.616743
Wabash Ave & Wacker Pl,233,41.886875,-87.62603
Pine Grove Ave & Waveland Ave,233,41.94947274088333,-87.64645278453827
Sheridan Rd & Montrose Ave,233,41.96167,-87.65464
Larrabee St & Oak St,231,41.90021949323,-87.6429854676
Halsted St & Roosevelt Rd,230,41.867324,-87.648625
Ellis Ave & 53rd St,229,41.79933626261,-87.6009581145
Sedgwick St & Webster Ave,229,41.922167,-87.638888
Lakeview Ave & Fullerton Pkwy,228,41.925858,-87.638973
Michigan Ave & 8th St,226,41.872773,-87.623981
Wilton Ave & Diversey Pkwy,226,41.932418,-87.652705
Sheffield Ave & Waveland Ave,226,41.949399,-87.654529
Hermitage Ave & Polk St,226,41.871514,-87.669886
Ritchie Ct & Banks St,223,41.906866,-87.626217
Milwaukee Ave & Wabansia Ave,222,41.912616,-87.681391
Southport Ave & Belmont Ave,221,41.93947775040509,-87.6637476682663
Desplaines St & Randolph St,220,41.883703,-87.644238
Michigan Ave & Madison St,218,41.882134,-87.625125
Michigan Ave & Jackson Blvd,215,41.8777679,-87.624164
Elizabeth St & Fulton St,213,41.886827,-87.658937
Clark St & Berwyn Ave,213,41.97803062248656,-87.66856491565704
Sheffield Ave & Wrightwood Ave,212,41.928712,-87.653833
Sangamon St & Washington Blvd,212,41.883165,-87.6511
Shore Dr & 55th St,211,41.795212,-87.580715
Michigan Ave & Oak St,211,41.90096039,-87.62377664
Broadway & Wilson Ave,210,41.965221,-87.658139
Broadway & Berwyn Ave,204,41.978361,-87.659789
Wood St & Chicago Ave,202,41.895634,-87.672069
Orleans St & Chestnut St (NEXT Apts),201,41.898203,-87.637536
Southport Ave & Irving Park Rd,200,41.954177,-87.664358
Lincoln Ave & Diversey Pkwy,200,41.932225,-87.658617
Racine Ave & Congress Pkwy,197,41.87464,-87.65703
Green St & Randolph St*,196,41.883601657275165,-87.64862671494483
State St & Van Buren St,194,41.877181,-87.627844
Larrabee St & Division St,193,41.90348607004,-87.6433534936
Honore St & Division St,193,41.903119,-87.673935
Ashland Ave & Chicago Ave,193,41.89595435734305,-87.6677280664444
Wells St & Institute Pl,193,41.89737986072316,-87.63442039489746
Halsted St & Maxwell St,193,41.864883,-87.647071
Canal St & Monroe St,192,41.8829056,-87.6397409
Kedzie Ave & Milwaukee Ave,192,41.928999,-87.70803
Clarendon Ave & Junior Ter,191,41.961004,-87.649603
Wabash Ave & 16th St,190,41.860384,-87.625813
Lincoln Ave & Roscoe St*,189,41.9433502470174,-87.67066776752472
Clinton St & Roosevelt Rd,189,41.8671177825,-87.6410879593
Rhodes Ave & 32nd St,186,41.836208,-87.613533
Clark St & Grace St,184,41.95078,-87.659172
Drexel Ave & 60th St,183,41.785861,-87.604553
Sheffield Ave & Willow St,182,41.913688,-87.652855
Damen Ave & Division St,181,41.903266,-87.678435
Michigan Ave & Pearson St,180,41.89766,-87.62351
Damen Ave & Cortland St,180,41.915998459,-87.677234769
Canal St & Taylor St,179,41.870257,-87.639474
Jefferson St & Monroe St,178,41.880329633634624,-87.64274597167967
Michigan Ave & 18th St,178,41.857864738,-87.624344707
Halsted St & Willow St,176,41.913865,-87.648755
Sheridan Rd & Buena Ave,176,41.958494,-87.654966
Carpenter St & Huron St,176,41.894556,-87.653449
Racine Ave & Wrightwood Ave,175,41.928887,-87.658971
Dearborn St & Van Buren St,173,41.876268,-87.629155
Cornell Ave & Hyde Park Blvd,172,41.802406,-87.586924
Damen Ave & Chicago Ave,171,41.895769,-87.67722
Green St & Washington Blvd,171,41.88318130597391,-87.64872461557388
Sheridan Rd & Noyes St (NU),170,42.058239,-87.677432
LaSalle St & Adams St,170,41.87934437346,-87.6319852213
Noble St & Milwaukee Ave,168,41.9007,-87.662607
Artesian Ave & Hubbard St,167,41.8895,-87.688257
Lake Park Ave & 53rd St,166,41.79949429373,-87.5864498959
Bissell St & Armitage Ave*,165,41.9182955629354,-87.65218332409859
DuSable Lake Shore Dr & Belmont Ave,164,41.940775,-87.639192
California Ave & Milwaukee Ave,164,41.922695,-87.697153
State St & Pearson St,164,41.897448,-87.628722
Damen Ave & Thomas St (Augusta Blvd),162,41.901315,-87.677409
Clarendon Ave & Leland Ave,161,41.967968,-87.650001
Delano Ct & Roosevelt Rd,161,41.867491,-87.63219
Clybourn Ave & Division St,160,41.904613,-87.640552
Wood St & Taylor St (Temp),160,41.869265218438194,-87.67373085021973
Southport Ave & Clybourn Ave,158,41.9215759,-87.6664335
Clark St & Leland Ave,158,41.96708783918421,-87.66729086637497
Racine Ave & 18th St,158,41.8583996,-87.6564226
Benson Ave & Church St,154,42.048214,-87.683485
Western Ave & Winnebago Ave,153,41.91552,-87.687022
Ashland Ave & Augusta Blvd,152,41.899481177,-87.669763207
Dusable Harbor,151,41.886875272,-87.612841845
Racine Ave & Washington Blvd,150,41.883073,-87.656952
Racine Ave & Belmont Ave,150,41.939743,-87.658865
Clark St & North Ave,149,41.911974,-87.631942
Greenview Ave & Fullerton Ave,145,41.92533,-87.6658
Larrabee St & North Ave,145,41.91021,-87.6435
Ashland Ave & Grace St,141,41.950687,-87.6687
Sheridan Rd & Argyle St,141,41.97328682025979,-87.65475958585739
Eckhart Park,140,41.89637337,-87.66098386
Clark St & 9th St (AMLI),139,41.870816,-87.631246
Broadway & Argyle St,138,41.97423,-87.6597735
Ashland Ave & Grand Ave,137,41.891072,-87.666611
N Green St & W Lake St,136,41.885579,-87.648484
Orleans St & Elm St,136,41.902924,-87.637715
Clark St & Bryn Mawr Ave,136,41.983593,-87.669154
Wood St & Augusta Blvd,134,41.899162173,-87.672208667
State St & Harrison St,134,41.874053,-87.627716
Throop St & Taylor St,133,41.868968,-87.659141
Western Ave & Leland Ave,133,41.966399801840986,-87.68870428204536
Ashland Ave & Wellington Ave,133,41.936083,-87.669807
Blue Island Ave & 18th St,132,41.857556,-87.661535
DuSable Lake Shore Dr & Wellington Ave,132,41.9366884494997,-87.63682901859283
Campbell Ave & North Ave,127,41.910535,-87.689556
Paulina St & 18th St,124,41.857901,-87.668745
Paulina St & Montrose Ave,124,41.961507,-87.671387
Broadway & Thorndale Ave,123,41.98974251144,-87.6601406209
Clark St & Lunt Ave,122,42.00901118058077,-87.67411172389984
Blackstone Ave & Hyde Park Blvd,121,41.802562,-87.590368
